frame,time(s),L hip,R hip,L knee,R knee,L ankle,R ankle,L crutch,R crutch,M_L crutch,M_R crutch,thigh c_x,thigh c_y,shank c_x,shank c_y
850,3.541666667,-80.924,-94.958,158.383,140.821,26.657,100.769,,45.785,,,1006.999998,817.5000036,1029.499998,891.5000045
851,3.545833333,-83.642,-94.958,159.305,140.821,28.097,93.617,,46.278,,,1006.999998,817.5000036,1029.499998,891.5000045
852,3.55,-83.01,-94.958,158.756,140.821,28.307,102.854,,46.483,,,1006.999998,817.5000036,1029.499998,891.5000045
853,3.554166667,-85.255,-94.958,159.55,140.821,30.47,98.396,,46.396,,,1006.999998,817.5000036,1029.499998,891.5000045
854,3.558333333,-85.09,-94.936,159.019,140.799,31.051,100.681,,46.593,,,1006.500006,817.5000036,1029.499998,891.5000045
855,3.5625,-84.954,-94.936,158.778,141.058,30.832,96.891,,46.921,,,1006.500006,817.9999888,1029.499998,891.5000045
856,3.566666667,-82.186,-94.936,159.106,141.058,29.432,107.552,,46.945,,,1006.500006,817.9999888,1029.499998,891.9999897
857,3.570833333,-80.852,-94.677,159.385,140.969,27.761,106.983,,46.811,,,1006.500006,818.5000062,1029.499998,892.5000072
858,3.575,-80.554,-94.677,159.671,140.969,26.307,107.482,,46.586,,,1006.500006,818.5000062,1029.499998,892.5000072
859,3.579166667,-79.835,-94.677,159.998,140.969,24.263,110.804,,46.521,,,1006.500006,818.5000062,1029.499998,892.5000072
860,3.583333333,-83.256,-94.677,159.905,140.969,30.829,55.026,,46.865,,,1006.500006,818.5000062,1029.499998,892.5000072
861,3.5875,-86.644,-94.677,160.679,140.969,30.468,87.401,,46.398,,,1006.500006,818.5000062,1029.499998,892.5000072
862,3.591666667,-88.365,-94.677,160.817,140.969,33.381,106.053,,46.741,,,1006.500006,818.5000062,1029.499998,892.5000072
863,3.595833333,-83.092,-94.677,159.97,140.969,29.284,109.1,,46.46,,,1006.500006,818.5000062,1029.499998,892.5000072
864,3.6,-82.816,-94.677,159.258,140.969,27.196,104.922,,47.282,,,1006.500006,818.5000062,1029.499998,892.5000072
865,3.604166667,-80.405,-94.699,157.773,140.826,31.183,85.619,,47.528,,,1006.000013,818.5000062,1029.000006,892.5000072
866,3.608333333,-80.281,-94.677,156.872,140.969,31.299,85.476,,46.392,,,1006.500006,818.5000062,1029.499998,892.5000072
867,3.6125,-79.75,-95.194,157.296,141.229,30.201,93.801,,46.391,,,1006.500006,819.0000236,1029.499998,892.5000072
868,3.616666667,-85.643,-95.218,158.553,141.087,32.787,93.393,,46.534,,,1006.000013,819.0000236,1029.000006,892.5000072
869,3.620833333,-87.9,-95.194,158.897,141.229,34.106,97.116,,47.133,,,1006.500006,819.0000236,1029.499998,892.5000072
870,3.625,-88.32,-95.194,159.178,141.229,34.106,89.801,,46.738,,,1006.500006,819.0000236,1029.499998,892.5000072
871,3.629166667,-88.845,-95.218,159.068,141.087,34.259,78.557,,46.962,,,1006.000013,819.0000236,1029.000006,892.5000072
872,3.633333333,-85.202,-95.194,158.767,141.229,29.608,87.21,,46.953,,,1006.500006,819.0000236,1029.499998,892.5000072
873,3.6375,-87.112,-95.218,159.331,141.253,30.082,95.253,,47.471,,,1006.000013,819.0000236,1028.500013,892.5000072
874,3.641666667,-82.441,-95.218,159.104,141.253,25.765,97.514,,47.899,,,1006.000013,819.0000236,1028.500013,892.5000072
875,3.645833333,-80.188,-95.218,158.859,141.253,25.045,83.255,,47.598,,,1006.000013,819.0000236,1028.500013,892.5000072
876,3.65,-80.673,-95.218,158.638,141.253,25.797,88.895,,47.553,,,1006.000013,819.0000236,1028.500013,892.5000072
877,3.654166667,-86.603,-95.194,160.046,141.229,28.98,93.443,,47.584,,,1005.500021,819.0000236,1028.500013,892.5000072
878,3.658333333,-89.119,-94.699,160.371,140.992,30.577,88.869,,46.806,,,1006.000013,818.5000062,1028.500013,892.5000072
879,3.6625,-89.599,-95.218,160.319,141.082,31.004,95.416,,47.028,,,1006.000013,819.0000236,1028.500013,893.0000246
880,3.666666667,-89.226,-95.218,160.332,141.253,29.969,91.08,,47.084,,,1006.000013,819.0000236,1028.500013,892.5000072
881,3.670833333,-86.649,-95.194,160.312,141.229,27.243,93.489,,47.187,,,1005.500021,819.0000236,1028.500013,892.5000072
882,3.675,-84.849,-95.194,160.238,141.229,25.997,95.682,,47.203,,,1005.500021,819.0000236,1028.500013,892.5000072
883,3.679166667,-85.225,-95.194,161.412,141.058,26.006,82.014,,48.037,,,1005.500021,819.0000236,1028.500013,893.0000246
884,3.683333333,-87.257,-95.194,161.427,141.058,27.905,82.433,,48.526,,,1005.500021,819.0000236,1028.500013,893.0000246
885,3.6875,-87.612,-94.936,161.589,141.141,28.461,77.347,,48.141,,,1005.500021,819.5000088,1028.500013,892.9999924
886,3.691666667,-87.944,-95.194,161.345,141.058,28.769,46.919,,48.671,,,1005.500021,819.0000236,1028.500013,893.0000246
887,3.695833333,-85.325,-94.936,160.19,141.058,26.299,97.102,,48.449,,,1005.500021,819.999994,1028.500013,893.5000098
888,3.7,-83.517,-94.936,159.799,141.058,25.976,100.937,,48.695,,,1005.500021,819.999994,1028.500013,893.5000098
889,3.704166667,-83.118,-94.936,159.109,141.058,27.914,115.345,,48.409,,,1005.500021,819.999994,1028.500013,893.5000098
890,3.708333333,-86.06,-94.936,159.568,140.799,30.046,74.13,,48.841,,,1005.500021,819.5000088,1028.500013,893.5000098
891,3.7125,-88.091,-95.194,159.847,141.058,31.964,78.135,,48.82,,,1005.500021,819.0000236,1028.500013,893.0000246
892,3.716666667,-88.433,-94.936,159.98,141.058,32.036,77.78,,48.852,,,1005.500021,819.999994,1028.500013,893.5000098
893,3.720833333,-88.442,-94.936,159.784,141.058,31.997,56.082,,49.213,,,1005.500021,819.999994,1028.500013,893.5000098
894,3.725,-89.007,-94.936,159.166,141.058,34.064,61.208,,48.949,,,1005.500021,819.999994,1028.500013,893.5000098
895,3.729166667,-88.78,-94.936,158.923,141.401,33.731,57.112,,48.618,,,1005.500021,819.999994,1028.500013,892.9999924
896,3.733333333,-88.877,-94.936,159.412,140.799,31.807,65.864,,48.626,,,1005.500021,819.5000088,1028.500013,893.5000098
897,3.7375,-88.99,-94.936,158.551,141.058,32.05,61.885,,48.658,,,1005.500021,819.999994,1028.500013,893.5000098
898,3.741666667,-82.507,-94.936,158.376,141.058,28.035,56.374,,48.673,,,1005.500021,819.999994,1028.500013,893.5000098
899,3.745833333,-83.188,-94.936,158.893,141.401,28.161,52.006,,48.621,,,1005.500021,819.999994,1028.500013,892.9999924
900,3.75,-83.596,-94.958,158.629,141.082,30.881,57.576,,48.629,,,1006.000013,819.999994,1028.500013,893.5000098
901,3.754166667,-85.578,-94.958,158.167,141.425,33.275,54.349,,48.916,,,1006.000013,819.999994,1028.500013,892.9999924
902,3.758333333,-83.698,-94.958,156.754,141.164,32.344,56.56,,48.799,,,1006.000013,819.5000088,1028.500013,892.9999924
903,3.7625,-83.887,-94.958,157.543,141.164,32.595,44.388,,48.46,,,1006.000013,819.5000088,1028.500013,892.9999924
904,3.766666667,-86.49,-94.958,156.875,141.164,32.13,66.939,,48.174,,,1006.000013,819.5000088,1028.500013,892.9999924
905,3.770833333,-86.871,-94.958,157.158,141.164,32.388,68.282,,48.371,,,1006.000013,819.5000088,1028.500013,892.9999924
906,3.775,-85.675,-94.958,156.51,141.164,31.968,69.484,,48.019,,,1006.000013,819.5000088,1028.500013,892.9999924
907,3.779166667,-84.068,-95.194,155.986,141.394,31.684,61.543,,48.378,,,1006.500006,819.0000236,1029.000006,892.5000072
908,3.783333333,-86.031,-94.936,157.125,141.058,32.405,56.155,,48.405,,,1006.500006,819.999994,1029.499998,893.5000098
909,3.7875,-84.444,-94.936,155.368,141.223,31.407,59.805,,48.007,,,1006.500006,819.999994,1029.000006,893.5000098
910,3.791666667,-85.824,-94.936,157.26,141.223,29.314,73.035,,48.442,,,1006.500006,819.999994,1029.000006,893.999995
911,3.795833333,-86.023,-94.936,158.656,140.964,27.621,95.142,,47.98,,,1006.500006,820.4999793,1029.000006,894.4999802
912,3.8,-86.463,-94.936,158.154,141.058,31.867,66.791,,47.738,,,1006.500006,819.999994,1029.499998,893.999995
913,3.804166667,-86.443,-94.936,155.794,140.799,33.798,65.257,,47.54,,,1006.500006,820.4999793,1029.499998,894.4999802
914,3.808333333,-87.004,-94.914,155.188,141.364,34.832,67.416,,47.975,,,1006.999998,819.999994,1029.499998,893.999995
915,3.8125,-87.052,-94.936,155.18,140.799,34.761,67.005,,48.397,,,1006.500006,820.4999793,1029.499998,894.4999802
916,3.816666667,-86.902,-94.914,155.088,140.941,34.398,61.235,,48.306,,,1006.999998,820.4999793,1029.99999,894.4999802
917,3.820833333,-87.39,-94.656,155.945,140.683,30.935,69.01,,46.32,,,1006.999998,819.999994,1029.99999,894.4999802
918,3.825,-87.564,-94.656,156.928,140.683,28.338,109.575,,46.402,,,1006.999998,819.999994,1029.99999,894.4999802
919,3.829166667,-87.268,-94.656,157.292,140.683,27.961,113.911,,46.447,,,1006.999998,819.999994,1029.99999,894.4999802
920,3.833333333,-87.568,-94.656,157.57,140.683,27.804,105.566,,46.005,,,1006.999998,819.999994,1029.99999,894.4999802
921,3.8375,-87.85,-94.656,156.939,140.513,27.487,106.928,,46.032,,,1006.999998,819.999994,1029.99999,894.9999976
922,3.841666667,-89.249,-94.914,155.935,140.771,29.536,94.235,,45.784,,,1006.999998,820.4999793,1029.99999,894.9999976
923,3.845833333,-88.308,-94.399,155.839,140.682,27.906,111.283,,46.159,,,1006.999998,820.9999967,1029.99999,895.500015
924,3.85,-88.352,-94.399,155.811,140.588,28.265,89.318,,45.234,,,1007.999983,820.5000114,1030.499983,895.500015
925,3.854166667,-88.004,-94.379,155.969,140.568,26.391,93.714,,44.413,,,1007.49999,820.5000114,1030.499983,896.0000002
926,3.858333333,-86.548,-94.379,157.445,140.568,26.588,84.067,,44.327,,,1007.49999,820.5000114,1030.499983,895.500015
927,3.8625,-86.291,-93.883,156.405,140.329,26.177,79.145,,44.477,,,1007.999983,819.999994,1030.499983,895.500015
928,3.866666667,-85.756,-94.141,155.4,140.254,27.33,68.894,,44.424,,,1006.999998,819.4999766,1029.99999,894.9999976
929,3.870833333,-85.705,-94.122,155.959,139.971,27.611,91.842,,44.653,,,1007.49999,818.9999914,1030.499983,895.4999828
930,3.875,-86.701,-94.141,155.229,139.826,26.927,98.949,,44.706,,,1006.999998,818.9999914,1029.99999,895.4999828
931,3.879166667,-83.919,-93.883,154,140.07,26.973,74.89,,44.866,,,1007.999983,819.5000088,1030.499983,896.0000002
932,3.883333333,-85.583,-94.122,154.638,139.971,25.837,79.433,,44.489,,,1007.49999,818.9999914,1030.499983,895.4999828
933,3.8875,-84.36,-93.625,153.709,139.567,25.973,86.846,,44.694,,,1006.999998,818.499974,1029.99999,895.4999828
934,3.891666667,-83.21,-93.625,153.467,139.567,25.366,83.618,,45.018,,,1006.999998,818.499974,1029.99999,895.4999828
935,3.895833333,-84.259,-93.641,155.902,139.324,24.703,107.726,,45.338,,,1007.49999,817.9999888,1029.99999,895.4999828
936,3.9,-84.538,-93.625,155.065,139.307,25.553,106.067,,45.534,,,1006.999998,817.9999888,1029.99999,895.4999828
937,3.904166667,-81.201,-92.849,155.061,139.127,22.886,123.809,,45.442,,,1006.999998,817.9999888,1029.99999,896.0000002
938,3.908333333,-84.122,-93.122,156.777,139.063,22.991,122.75,,45.369,,,1007.49999,817.4999714,1029.99999,895.4999828
939,3.9125,-84.664,-93.122,156.218,138.803,22.817,132.294,,45.54,,,1007.49999,816.9999862,1029.99999,895.4999828
940,3.916666667,-83.515,-92.849,155.054,138.698,24.003,129.238,,45.955,,,1006.999998,816.500001,1029.99999,894.9999976
941,3.920833333,-83.5,-92.591,154.392,138.529,24.589,128.19,,45.767,,,1006.999998,815.4999983,1029.99999,894.5000124
942,3.925,-83.103,-92.591,154.78,138.608,22.427,150.608,,44.957,,,1006.999998,815.0000131,1029.99999,893.999995
943,3.929166667,-83.414,-92.083,154.512,138.193,21.419,97.61,,44.25,,,1006.500006,814.4999957,1029.499998,893.999995
944,3.933333333,-83.043,-92.343,153.639,138.285,21.369,111.096,,42.877,,,1006.500006,814.0000105,1029.499998,893.5000098
945,3.9375,-82.368,-92.343,153.462,138.023,21.293,113.526,,43.279,,,1006.500006,813.5000253,1029.499998,893.5000098
946,3.941666667,-82.439,-91.822,153.524,137.762,22.036,121.135,,43.168,,,1006.500006,813.0000079,1029.499998,893.5000098
947,3.945833333,-87.884,-91.822,154.956,137.501,24.146,124.052,,43.987,,,1006.500006,812.5000226,1029.499998,893.5000098
948,3.95,-86.96,-91.302,154.605,137.239,22.927,124.953,,44.294,,,1006.500006,812.0000052,1029.499998,893.5000098
949,3.954166667,-88.486,-91.562,154.552,136.904,24.389,122.567,,43.969,,,1006.500006,811.0000026,1030.000019,892.5000072
950,3.958333333,-86.905,-91.046,154.11,136.482,22.73,125.122,,43.755,,,1006.000013,810.4999852,1029.500027,892.5000072
951,3.9625,-84.339,-91.042,153.069,136.812,21.927,112.818,,43.766,,,1006.500006,809.5000148,1030.000019,891.5000045
952,3.966666667,-84.516,-90.781,153.526,136.383,23.27,111.982,,43.195,,,1005.500021,808.9999974,1029.500027,891.5000045
953,3.970833333,-82.74,-90.521,152.742,136.122,23.908,115.554,,43.947,,,1005.500021,808.5000122,1029.500027,891.5000045
954,3.975,-84.373,-90.521,157.129,135.691,20.327,119.533,,43.064,,,1005.500021,808.0000269,1029.500027,892.0000219
955,3.979166667,-88.04,-90.521,158.263,135.523,25.336,95.245,,43.555,,,1005.500021,806.9999921,1029.500027,890.9999871
956,3.983333333,-87.438,-90.262,157.324,135.263,26.736,85.484,,43.695,,,1005.000029,806.5000069,1029.000034,890.5000019
957,3.9875,-87.175,-90,157.5,135.169,24.612,124.049,,46.156,,,1005.000029,805.0000191,1029.000034,889.4999993
958,3.991666667,-77.238,-89.738,148.706,134.665,22.346,131.51,,46.15,,,1005.000029,803.9999843,1029.000034,889.4999993
959,3.995833333,-76.123,-89.738,147.465,134.569,22.158,126.085,,45.777,,,1005.000029,803.499999,1029.000034,888.9999819
960,4,-76.598,-89.208,148.15,133.965,20.906,125.182,,45.826,,,1004.499979,802.9999816,1028.499985,888.9999819
961,4.004166667,-76.731,-89.212,148.451,133.705,22.223,115.554,,44.656,,,1003.999987,802.4999964,1028.499985,888.9999819
962,4.008333333,-72.298,-88.949,148.161,133.705,18.162,102.162,,43.84,,,1003.999987,801.4999938,1028.499985,888.4999967
963,4.0125,-72.766,-88.686,147.925,133.442,18.613,84.092,,43.799,,,1003.999987,801.0000086,1028.499985,888.4999967
964,4.016666667,-72.367,-88.68,147.334,132.669,17.932,80.285,,42.828,,,1003.499994,799.4999886,1027.999992,887.9999793
965,4.020833333,-70.138,-88.152,144.324,132.307,18.646,47.771,,42.73,,,1003.499994,798.4999859,1027.999992,887.499994
966,4.025,-70.301,-88.152,140.765,132.474,21.407,40.237,,42.272,,,1003.499994,797.5000155,1027.999992,886.4999914
967,4.029166667,-69.798,-87.636,139.732,131.608,21.865,45.009,,42.112,,,1002.499981,796.5000129,1027.5,887.0000088
968,4.033333333,-65.52,-87.374,137.971,131.277,18.946,47.865,,43.409,,,1002.499981,795.4999781,1027.5,886.4999914
969,4.0375,-65.312,-87.374,138.271,131.179,17.895,47.741,,42.514,,,1002.499981,794.9999928,1027.5,885.999974
970,4.041666667,-65.222,-86.849,137.492,130.915,16.584,50.998,,41.952,,,1002.499981,794.4999754,1027.5,885.999974
971,4.045833333,-70.247,-86.572,136.849,130.464,20.11,50.079,,42.169,,,1001.999989,792.9999876,1027.000008,885.4999888
972,4.05,-58.965,-86.325,132.545,130.216,15.9,76.113,,40.749,,,1001.499996,792.5000024,1027.000008,885.4999888
973,4.054166667,-58.607,-86.292,131.129,129.754,16.945,74.739,,40.333,,,1001.499996,790.9999824,1026.500015,884.4999862
974,4.058333333,-61.216,-86.309,130.766,129.607,18.97,80.615,,41.069,,,1001.000004,790.0000119,1026.500015,884.000001
975,4.0625,-64.807,-85.764,129.787,129.214,23.205,60.788,,39.597,,,1000.500011,789.0000093,1026.000023,883.4999835
976,4.066666667,-68.811,-85.521,129.711,129.069,28.053,36.66,,40.502,,,1000.000019,788.0000067,1026.000023,882.9999983
977,4.070833333,-66.42,-85.5,128.685,128.784,27.677,38.089,,39.781,,,1000.500011,787.5000215,1026.000023,882.9999983
978,4.075,-64.89,-85.236,126.388,128.181,28.148,14.278,,39.899,,,999.5000267,786.0000014,1025.500031,882.4999809
979,4.079166667,-65.309,-84.71,128.529,127.916,28.872,4.721,,40.113,,,999.5000267,785.499984,1025.500031,882.4999809
980,4.083333333,-63.132,-84.447,128.46,127.476,27.25,13.576,,40.383,,,999.5000267,783.9999962,1026.000023,881.5000105
981,4.0875,-58.872,-84.395,128.13,126.508,24.535,16.172,,42.046,,,998.9999771,782.5000083,1025.499973,880.9999931
982,4.091666667,-58.334,-84.158,127.902,126.695,25.326,20.616,,41.083,,,998.4999847,781.5000057,1025.499973,880.0000226
983,4.095833333,-57.8,-83.601,126.48,126.139,26.093,30.002,,40.725,,,997.9999924,780.5000031,1024.499989,880.0000226
984,4.1,-54.374,-83.601,127.03,125.875,23.647,34.77,,40.794,,,997.9999924,780.0000179,1024.499989,880.0000226
985,4.104166667,-57.297,-83.306,125.005,125.165,27.826,34.106,,39.992,,,997.5,778.9999831,1024.499989,879.5000052
986,4.108333333,-56.105,-82.776,123.81,124.814,28.471,33.09,,39.508,,,997.5,777.9999804,1023.999996,879.5000052
987,4.1125,-54.583,-82.776,123.343,124.549,27.836,30.829,,40.065,,,997.5,777.4999952,1023.999996,879.5000052
988,4.116666667,-54.288,-82.546,121.646,124.21,29.179,30.461,,40.178,,,996.4999866,776.4999926,1023.500004,879.00002
989,4.120833333,-60.855,-82.02,121.297,123.501,32.494,20.259,,41.948,,,996.4999866,775.49999,1023.999996,879.00002
990,4.125,-62.103,-82.283,119.41,123.343,32.77,7.711,,41.731,,,995.5000019,774.4999874,1023.500004,878.5000026
991,4.129166667,-61.504,-81.757,119.22,122.995,30.237,17.543,,40.693,,,995.5000019,773.4999847,1023.000011,878.5000026
992,4.133333333,-67.653,-81.234,120.668,122.395,34.805,8.702,,40.647,,,995.5000019,771.9999969,1023.500004,878.0000174
993,4.1375,-71.115,-81.193,121.305,121.91,37.347,11.689,,41.275,,,995.0000095,771.5000117,1023.000011,878.0000174
994,4.141666667,-73.358,-80.931,121.629,121.49,37.607,15.019,,40.648,,,995.0000095,769.9999917,1023.000011,877.5
995,4.145833333,-74.479,-80.407,121.522,121.115,37.325,20.061,,39.999,,,994.5000172,769.4999743,1023.000011,877.9999852
996,4.15,-72.904,-80.407,121.145,120.627,36.164,25.067,,40.734,,,994.0000248,768.999989,1022.500019,877.9999852
997,4.154166667,-72.286,-80.191,121.004,120.33,33.816,28.395,,40.497,,,994.0000248,769.5000064,1023.000011,880.5000079
998,4.158333333,-71.123,-80.022,121.437,120.144,32.221,35.731,,40.66,,,993.5000038,769.9999917,1022.500019,881.4999783
999,4.1625,-70.681,-79.509,120.448,119.705,31.487,33.84,,40.669,,,993.5000038,768.5000038,1023.000011,880.9999931
1000,4.166666667,-70.219,-79.556,120.402,119.374,31.27,37.186,,40.285,,,993.0000114,768.0000186,1022.500019,881.5000105
1001,4.170833333,-70.306,-78.996,120.505,118.708,30.601,33.12,,41.334,,,992.5000191,767.5000012,1022.500019,881.5000105
1002,4.175,-69.349,-78.486,120.902,118.376,29.294,36.553,,40.759,,,992.5000191,766.4999986,1022.000027,881.5000105
1003,4.179166667,-66.759,-78.741,120.149,118.226,26.456,41.097,,40.65,,,992.5000191,765.4999959,1022.000027,880.9999931
1004,4.183333333,-65.689,-78.486,119.222,117.641,26.07,40.952,,39.662,,,991.5000343,764.0000081,1021.500034,880.5000079
1005,4.1875,-64.471,-77.978,118.47,117.204,26.108,37.795,,39.552,,,991.5000343,763.4999907,1022.000027,880.5000079
1006,4.191666667,-62.581,-77.613,117.91,116.528,25.093,36.471,,39.225,,,990.9999847,762.0000029,1021.499977,880.0000226
1007,4.195833333,-62.746,-77.358,117.819,116.273,25.172,36.385,,38.508,,,990.9999847,761.5000176,1021.499977,880.0000226
1008,4.2,-63.061,-77.471,118.145,115.782,25.629,36.108,,38.758,,,990.4999638,759.9999976,1021.499977,879.5000052
1009,4.204166667,-62.985,-76.656,117.92,115.033,27.208,35.599,,38.82,,,989.9999714,758.999995,1020.999985,879.5000052
1010,4.208333333,-62.231,-76.908,117.378,115.033,27.444,35.121,,38.451,,,989.9999714,758.0000246,1020.999985,879.00002
1011,4.2125,-61.781,-76.342,116.635,114.279,27.776,34.744,,38.549,,,989.499979,757.0000219,1020.499992,879.00002
1012,4.216666667,-61.329,-76.152,116.378,114.053,27.902,34.518,,38.063,,,988.9999866,755.9999871,1020.499992,878.5000026
1013,4.220833333,-61.879,-75.586,115.544,113.485,28.705,33.715,,38.47,,,988.4999943,754.9999845,1020,878.5000026
1014,4.225,-61.583,-75.586,115.311,113.485,28.403,32.854,,37.511,,,988.4999943,754.0000141,1020,878.0000174
1015,4.229166667,-61.22,-75.018,114.69,112.729,28.306,32.672,,36.653,,,988.0000019,753.0000114,1019.500008,878.0000174
1016,4.233333333,-60.498,-75.336,113.656,112.653,27.73,34.488,,36.423,,,987.5000095,752.0000088,1019.500008,876.9999826
1017,4.2375,-60.145,-74.836,113.324,112.151,27.275,33.676,,36.38,,,987.5000095,751.0000062,1019.500008,876.9999826
1018,4.241666667,-58.742,-74.518,111.51,111.574,27.692,34.319,,35.908,,,986.5000248,749.5000184,1019.000015,877.0000148
1019,4.245833333,-58.17,-74.019,111.109,111.254,27.63,34.312,,36.484,,,987.0000172,749.000001,1019.000015,877.0000148
1020,4.25,-57.329,-73.771,110.236,110.864,27.294,36.738,,35.667,,,986.0000324,747.4999809,1018.000031,875.99998
1021,4.254166667,-56.487,-73.625,110.39,110.168,26.706,35.825,,35.527,,,985.4999828,746.9999957,1017.499981,875.99998
1022,4.258333333,-55.567,-73.376,109.344,109.918,26.666,36.17,,35.461,,,985.4999828,745.5000079,1017.499981,875.4999948
1023,4.2625,-54.973,-72.708,109.262,109.044,26.223,31.092,,35.742,,,984.4999695,744.5000052,1017.499981,875.4999948
1024,4.266666667,-54.207,-72.954,108.932,108.957,25.692,33.918,,35.673,,,984.4999695,743.5000026,1016.999989,874.9999774
1025,4.270833333,-53.733,-72.631,108.537,108.443,25.223,32.811,,35.336,,,983.9999771,742.0000148,1016.499996,874.4999921
1026,4.275,-53.29,-72.137,108.182,107.948,24.772,30.839,,35.866,,,983.9999771,741.0000122,1016.499996,874.4999921
1027,4.279166667,-51.947,-71.811,107.799,107.159,24.229,29.419,,36.291,,,983.4999847,739.4999921,1016.000004,873.9999747
1028,4.283333333,-52.158,-71.402,107.379,106.995,24.519,29.798,,35.439,,,982.9999924,738.9999747,1016.000004,873.9999747
1029,4.2875,-51.745,-71.075,105.907,106.666,25.218,29.557,,35.228,,,982.5,737.4999869,1015.500011,873.4999895
1030,4.291666667,-50.578,-71.075,105.691,106.421,24.45,29.715,,35.248,,,982.5,737.0000017,1015.500011,873.4999895
1031,4.295833333,-50.91,-70.589,105.317,105.853,24.981,29.078,,34.272,,,981.5000153,735.5000138,1015.000019,873.0000043
1032,4.3,-50.37,-70.017,104.973,105.088,25.394,28.665,,34.002,,,981.0000229,734.5000112,1014.500027,873.0000043
1033,4.304166667,-49.598,-70.259,104.495,104.955,24.905,31.758,,33.808,,,981.0000229,733.5000086,1014.500027,872.4999869
1034,4.308333333,-48.967,-69.928,102.955,104.3,25.523,32.096,,34.035,,,980.5000305,732.0000207,1014.000034,872.0000017
1035,4.3125,-49.733,-69.534,102.008,103.905,26.841,32.115,,35.417,,,980.0000381,731.0000181,1014.000034,872.0000017
1036,4.316666667,-52.059,-69.111,101.959,103.171,28.442,31.816,,35.874,,,979.4999886,729.9999833,1013.499985,871.4999843
1037,4.320833333,-52.373,-68.723,101.796,102.496,28.6,30.445,,35.984,,,978.4999752,728.9999807,1012.999992,871.4999843
1038,4.325,-52.206,-68.535,102.484,102.161,28.547,27.653,,35.132,,,978.9999962,727.500025,1012.999992,870.999999
1039,4.329166667,-52.08,-68.151,101.927,101.727,29.39,27.741,,35.896,,,977.9999828,727.0000076,1012.5,870.999999
1040,4.333333333,-50.789,-67.913,101.485,101.233,28.884,26.752,,35.301,,,977.9999828,725.4999876,1012.5,870.4999816
1041,4.3375,-48.974,-67.578,100.716,100.703,27.526,26.887,,35.395,,,977.4999905,723.9999998,1012.000008,869.9999964
1042,4.341666667,-48.575,-67.578,100.204,100.591,27.19,26.096,,34.992,,,976.5000057,723.5000145,1011.500015,869.5000112
1043,4.345833333,-47.519,-67.341,99.996,100.101,26.109,25.265,,36.173,,,976.5000057,721.9999945,1011.500015,868.9999938
1044,4.35,-47.94,-66.768,99.572,99.332,26.539,23.119,,35.146,,,976.0000134,720.9999919,1011.000023,868.9999938
1045,4.354166667,-46.305,-66.532,99.371,99.332,24.919,22.5,,36.033,,,976.0000134,719.9999893,1011.000023,868.5000086
1046,4.358333333,-45.585,-66.297,99.595,98.665,24.329,16.366,,36.222,,,975.0000286,719.0000188,1010.500031,868.5000086
1047,4.3625,-43.719,-65.854,98.103,97.689,23.904,16.078,,35.461,,,974.499979,717.4999988,1009.999981,867.9999912
1048,4.366666667,-41.713,-65.62,96.321,97.763,23.868,18.323,,36.373,,,974.499979,716.4999962,1009.49996,867.500006
1049,4.370833333,-40.903,-65.153,94.93,97.099,22.351,17.716,,36.376,,,973.4999943,715.4999936,1008.999968,867.500006
1050,4.375,-39.379,-64.813,93.038,96.442,20.983,24.314,,36.328,,,973.0000019,713.9999735,1008.499975,866.9999886
1051,4.379166667,-42.581,-64.813,95.41,96.209,21.039,23.25,,35.266,,,973.0000019,713.4999883,1008.499975,866.9999886
1052,4.383333333,-42.911,-64.47,95.02,95.748,21.735,22.018,,35.963,,,972.5000095,712.0000005,1007.999983,866.9999886
1053,4.3875,-42.694,-63.665,94.805,94.977,19.314,22.06,,36.127,,,972.0000172,710.9999979,1007.49999,866.5000033
1054,4.391666667,-42.424,-64.12,94.631,95.09,18.882,22.755,,36.192,,,971.4999962,710.0000274,1007.49999,866.0000181
1055,4.395833333,-41.569,-63.549,94.3,94.32,18.243,22.548,,35.803,,,971.0000038,709.0000248,1006.999998,866.0000181
1056,4.4,-41.641,-63.206,94.18,93.544,18.287,22.217,,36.225,,,970.5000114,707.5000048,1006.500006,865.5000007
1057,4.404166667,-41.789,-62.978,94.264,93.347,18.634,22.198,,36.568,,,969.5000267,706.5000021,1006.000013,865.0000155
1058,4.408333333,-40.257,-62.289,92.082,92.375,18.514,22.792,,35.477,,,968.9999771,705.4999995,1005.499964,865.0000155
1059,4.4125,-39.154,-62.063,90.308,91.921,18.76,22.671,,35.301,,,968.9999771,703.9999795,1005.499964,864.4999981
1060,4.416666667,-39.355,-62.063,91.217,91.495,17.13,23.593,,34.64,,,967.9999924,703.4999943,1004.999971,864.4999981
1061,4.420833333,-38.228,-61.492,90.023,90.949,17.237,26.591,,34.766,,,967.5,702.0000064,1004.499979,864.0000129
1062,4.425,-37.338,-61.044,88.74,90.5,17.369,26.397,,34.213,,,967.5,701.0000038,1004.499979,864.0000129
1063,4.429166667,-36.735,-61.144,87.26,90.155,18.024,27.844,,35.52,,,967.0000076,700.0000012,1003.999987,863.4999955
1064,4.433333333,-38.001,-60.573,88.063,89.383,18.58,28.001,,34.763,,,966.5000153,698.9999986,1003.499994,863.4999955
1065,4.4375,-39.085,-60.223,89.631,88.834,18.132,31.257,,34.044,,,966.0000229,697.5000107,1003.000002,863.0000103
