frame,time(s),R knee (deg)
280,1.166666667,20.697
281,1.170833333,20.697
282,1.175,20.697
283,1.179166667,20.697
284,1.183333333,20.461
285,1.1875,20.461
286,1.191666667,20.922
287,1.195833333,20.922
288,1.2,20.892
289,1.204166667,20.899
290,1.208333333,20.838
291,1.2125,21.296
292,1.216666667,21.414
293,1.220833333,21.351
294,1.225,21.406
295,1.229166667,21.575
296,1.233333333,21.874
297,1.2375,21.809
298,1.241666667,22.033
299,1.245833333,22.033
300,1.25,21.799
301,1.254166667,21.799
302,1.258333333,21.799
303,1.2625,21.855
304,1.266666667,21.855
305,1.270833333,22.314
306,1.275,22.314
307,1.279166667,22.314
308,1.283333333,22.314
309,1.2875,22.314
310,1.291666667,22.314
311,1.295833333,22.537
312,1.3,22.537
313,1.304166667,22.537
314,1.308333333,22.537
315,1.3125,22.537
316,1.316666667,22.537
317,1.320833333,22.537
318,1.325,22.537
319,1.329166667,22.76
320,1.333333333,22.76
321,1.3375,22.82
322,1.341666667,22.82
323,1.345833333,22.82
324,1.35,22.82
325,1.354166667,22.82
326,1.358333333,23.044
327,1.3625,22.586
328,1.366666667,22.586
329,1.370833333,22.586
330,1.375,22.586
331,1.379166667,22.586
332,1.383333333,22.586
333,1.3875,22.809
334,1.391666667,22.809
335,1.395833333,22.809
336,1.4,22.809
337,1.404166667,22.809
338,1.408333333,22.809
339,1.4125,22.309
340,1.416666667,22.4
341,1.420833333,22.624
342,1.425,22.624
343,1.429166667,22.624
344,1.433333333,22.566
345,1.4375,22.624
346,1.441666667,22.566
347,1.445833333,22.566
348,1.45,23.022
349,1.454166667,23.022
350,1.458333333,23.022
351,1.4625,23.02
352,1.466666667,23.02
353,1.470833333,23.02
354,1.475,22.848
355,1.479166667,22.848
356,1.483333333,22.848
357,1.4875,22.848
358,1.491666667,22.848
359,1.495833333,22.848
360,1.5,22.818
361,1.504166667,22.848
362,1.508333333,22.818
363,1.5125,22.848
364,1.516666667,22.848
365,1.520833333,22.818
366,1.525,23.275
367,1.529166667,23.275
368,1.533333333,22.881
369,1.5375,23.305
370,1.541666667,23.339
371,1.545833333,23.305
372,1.55,23.305
373,1.554166667,23.305
374,1.558333333,23.305
375,1.5625,23.305
376,1.566666667,23.305
377,1.570833333,23.305
378,1.575,23.305
379,1.579166667,23.369
380,1.583333333,23.309
381,1.5875,23.765
382,1.591666667,23.827
383,1.595833333,23.532
384,1.6,23.532
385,1.604166667,23.532
386,1.608333333,23.532
387,1.6125,23.532
388,1.616666667,23.532
389,1.620833333,23.988
390,1.625,23.988
391,1.629166667,23.988
392,1.633333333,24.053
393,1.6375,23.83
394,1.641666667,24.053
395,1.645833333,24.518
396,1.65,24.74
397,1.654166667,24.74
398,1.658333333,24.485
399,1.6625,25.041
400,1.666666667,25.007
401,1.670833333,25.007
402,1.675,25.007
403,1.679166667,25.462
404,1.683333333,25.462
405,1.6875,25.297
406,1.691666667,25.297
407,1.695833333,25.719
408,1.7,25.719
409,1.704166667,25.788
410,1.708333333,25.94
411,1.7125,26.01
412,1.716666667,25.94
413,1.720833333,25.975
414,1.725,26.196
415,1.729166667,26.302
416,1.733333333,26.917
417,1.7375,26.464
418,1.741666667,26.721
419,1.745833333,26.758
420,1.75,26.686
421,1.754166667,27.701
422,1.758333333,27.701
423,1.7625,27.701
424,1.766666667,28.115
425,1.770833333,27.922
426,1.775,28.681
427,1.779166667,28.412
428,1.783333333,28.412
429,1.7875,28.94
430,1.791666667,29.16
431,1.795833333,29.16
432,1.8,29.16
433,1.804166667,29.69
434,1.808333333,29.909
435,1.8125,30.36
436,1.816666667,30.44
437,1.820833333,30.659
438,1.825,31.109
439,1.829166667,31.871
440,1.833333333,31.64
441,1.8375,32.089
442,1.841666667,32.173
443,1.845833333,32.621
444,1.85,32.707
445,1.854166667,33.372
446,1.858333333,33.46
447,1.8625,33.677
448,1.866666667,33.677
449,1.870833333,34.43
450,1.875,34.43
451,1.879166667,34.967
452,1.883333333,34.967
453,1.8875,35.639
454,1.891666667,35.855
455,1.895833333,36.392
456,1.9,36.487
457,1.904166667,36.93
458,1.908333333,37.027
459,1.9125,37.014
460,1.916666667,37.456
461,1.920833333,37.555
462,1.925,37.996
463,1.929166667,37.996
464,1.933333333,38.209
465,1.9375,38.31
466,1.941666667,38.962
467,1.945833333,39.065
468,1.95,39.503
469,1.954166667,39.608
470,1.958333333,40.271
471,1.9625,40.376
472,1.966666667,40.813
473,1.970833333,41.567
474,1.975,41.676
475,1.979166667,42.111
476,1.983333333,41.773
477,1.9875,42.431
478,1.991666667,42.548
479,1.995833333,43.079
480,2,43.513
481,2.004166667,43.624
482,2.008333333,44.4
483,2.0125,44.831
484,2.016666667,44.948
485,2.020833333,45.497
486,2.025,46.133
487,2.029166667,46.253
488,2.033333333,46.581
489,2.0375,47.009
490,2.041666667,47.131
491,2.045833333,47.683
492,2.05,48.312
493,2.054166667,48.312
494,2.058333333,49.083
495,2.0625,49.633
496,2.066666667,50.183
497,2.070833333,50.322
498,2.075,50.523
499,2.079166667,51.075
500,2.083333333,51.627
501,2.0875,51.76
502,2.091666667,52.159
503,2.095833333,52.93
504,2.1,53.482
505,2.104166667,54.034
506,2.108333333,54.184
507,2.1125,54.738
508,2.116666667,55.074
509,2.120833333,55.074
510,2.125,55.551
511,2.129166667,56.298
512,2.133333333,56.671
513,2.1375,57.633
514,2.141666667,57.779
515,2.145833333,58.333
516,2.15,58.738
517,2.154166667,59.036
518,2.158333333,59.607
519,2.1625,59.946
520,2.166666667,60.286
521,2.170833333,60.501
522,2.175,60.68
523,2.179166667,61.979
524,2.183333333,62.166
525,2.1875,62.72
526,2.191666667,62.896
527,2.195833333,63.634
528,2.2,64.188
529,2.204166667,64.005
530,2.208333333,63.892
531,2.2125,65.084
532,2.216666667,65.8
533,2.220833333,65.892
534,2.225,66.446
535,2.229166667,67.21
536,2.233333333,67.786
537,2.2375,67.953
538,2.241666667,68.851
539,2.245833333,69.021
540,2.25,69.404
541,2.254166667,69.748
542,2.258333333,69.943
543,2.2625,70.669
544,2.266666667,71.049
545,2.270833333,71.223
546,2.275,71.776
547,2.279166667,72.535
548,2.283333333,72.916
549,2.2875,73.468
550,2.291666667,73.648
551,2.295833333,73.814
552,2.3,74.53
553,2.304166667,74.711
554,2.308333333,74.997
